Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.medium,block,PNG,Hillshade,256x256,500,10,500,0,41.899,17775000,11.93,837.976,83.798,414.29,45,16,789,270.7,721,265.9,834,270.2,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/block_rast1-small/2/true
m1.medium,cache,PNG,Hillshade,256x256,500,10,500,0,41.014,17775000,12.19,820.276,82.028,423.23,46,17.3,770,277.9,701,274.3,816,277.8,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/2/true
m1.medium,local,PNG,Hillshade,256x256,500,10,500,0,40.187,17775000,12.44,803.733,80.373,431.94,48,18.3,753,249.5,686,246.6,800,251.5,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/2/true
m1.medium,block,PNG,Hillshade,256x256,500,10,500,0,40.194,17775000,12.44,803.88,80.388,431.87,47,20.3,753,257.8,686,252.1,800,257.9,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/block_rast1-small/2/true
m1.medium,cache,PNG,Hillshade,256x256,500,10,500,0,40.009,17775000,12.5,800.176,80.018,433.86,47,18.2,750,256.7,681,251.5,797,257.4,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/2/true
m1.medium,local,PNG,Hillshade,256x256,500,10,500,0,40.183,17775000,12.44,803.664,80.366,431.98,48,18.8,751,263.8,685,259.1,799,263.5,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/2/true
m1.medium,block,PNG,Hillshade,256x256,500,10,500,0,40.212,17775000,12.43,804.244,80.424,431.67,50,19.5,751,255.7,686,253.2,801,254.3,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/block_rast1-small/2/true
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,16.786,17784500,29.79,335.729,33.573,1034.63,40,9.6,293,216.5,253,216.1,333,216.7,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,13.595,17784500,36.78,271.891,27.189,1277.54,44,63.5,225,61.4,183,52,269,89.5,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,13.119,17784500,38.11,262.379,26.238,1323.86,40,9.2,220,53.1,181,52.8,261,52.8,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,12.694,17784500,39.39,253.884,25.388,1368.16,40,8.5,212,48.5,172,48,252,48.4,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,12.81,17784500,39.03,256.202,25.62,1355.78,39,6.6,214,53.8,175,53.2,253,53.8,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,12.596,17784500,39.7,251.916,25.192,1378.85,40,7.2,210,45.6,169,44.9,250,46.3,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,12.656,17784500,39.51,253.122,25.312,1372.28,44,14,208,46.7,165,45.9,251,48.7,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,12.493,17784500,40.02,249.851,24.985,1390.25,40,9.1,207,47.6,167,47.1,247,47.8,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,12.6,17784500,39.68,251.993,25.199,1378.43,40,7.3,210,51.1,170,50.8,250,51,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.531,17784500,39.9,250.62,25.062,1385.98,40,9.2,208,95.4,168,94.5,248,95.5,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,11.693,17784500,42.76,233.865,23.386,1485.28,40,8.4,192,40.4,151,38.5,232,41.3,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,12.277,17784500,40.73,245.543,24.554,1414.63,39,7.9,204,36.4,131,34,243,37.3,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
